기존,축약
"　　　석탄, 원유 및 천연가스 광업","석탄, 원유 및 천연가스 광업"
　　　금속 광업,금속
　　　비금속광물 광업; 연료용 제외,비금속광물 광업; 연료용 제외
　　　식료품 제조업,식료품
　　　음료 제조업,음료
　　　담배 제조업,담배
　　　섬유제품 제조업; 의복 제외,섬유제품
"　　　의복, 의복액세서리 및 모피제품 제조업",의복·모피
"　　　가죽, 가방 및 신발 제조업","가죽, 가방 및 신발 제조업"
　　　목재 및 나무제품 제조업; 가구 제외,목재·나무제품
"　　　펄프, 종이 및 종이제품 제조업","펄프, 종이 및 종이제품 제조업"
　　　인쇄 및 기록매체 복제업,인쇄 및 기록매체 복제업
"　　　코크스, 연탄 및 석유정제품 제조업",코크스·연탄·석유정제품 제조업
　　　화학 물질 및 화학제품 제조업; 의약품 제외,화학제품
　　　의료용 물질 및 의약품 제조업,의약품
　　　고무 및 플라스틱제품 제조업,고무·플라스틱
　　　비금속 광물제품 제조업,비금속 광물제품 제조업
　　　1차 금속 제조업,금속
　　　금속 가공제품 제조업; 기계 및 가구 제외,금속가공제품
"　　　전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체·전자부품
"　　　의료, 정밀, 광학 기기 및 시계 제조업",의료·정밀
　　　전기장비 제조업,전기장비
　　　기타 기계 및 장비 제조업,기타기계장비
　　　자동차 및 트레일러 제조업,자동차·트레일러
　　　기타 운송장비 제조업,기타 운송장비
　　　가구 제조업,가구
　　　기타 제품 제조업,기타 제품 제조업
　　　산업용 기계 및 장비 수리업,기계·장비 수리업
"　　　전기, 가스, 증기 및 공기 조절 공급업",전기·가스업
